model_type,rank,N,CB,num_parameters,avg_test_accuracy,std_test_accuracy,num_experiments,num_seeds
MPO_type_I,2,3,2,2815,85.722,0.24,5,5
MPO_type_I,2,4,2,4379,82.234,8.5968,5,5
MPO_type_I,8,3,8,12979,87.91,0.1772,5,5
MPO_type_I,8,3,12,14515,87.708,0.327,5,5
MPO_type_I,8,4,8,25475,88.3525,0.2405,4,4
MPO_type_I,8,4,12,29699,88.0375,0.4774,4,4
MPO_type_I,16,3,8,30227,88.425,0.133,4,4
MPO_type_I,16,4,8,65459,88.3086,0.3678,7,4
MPO_type_II,2,3,2,1336,79.47,8.909,5,5
MPO_type_II,2,4,2,1604,55.676,20.6472,5,5
MPO_type_II,8,3,8,8560,74.38,19.8007,5,5
MPO_type_II,8,3,12,10056,86.85,0.1903,4,4
MPO_type_II,8,4,8,12848,75.5975,23.3538,4,4
MPO_type_II,8,4,12,15704,86.5775,0.5011,4,4
MPO_type_II,16,3,8,22160,78.675,13.9742,4,4
MPO_type_II,16,4,8,36048,78.165,17.5034,4,4
