,dataset,model_type,N,r,CB,test_accuracy,num_parameters,num_swipes,eps,eps_decay,kernel_size,kernel_stride,early_stopping,abs_err,rel_err,seed,validation_split,timestamp
0,MNIST,tt_type1,3,8,8,97.78,12979,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T08:24:25.479310
1,MNIST,tt_standard,3,8,8,97.44,8560,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T08:29:36.447156
2,MNIST,tt_type1,3,8,12,97.78,14515,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T08:36:12.807935
3,MNIST,tt_standard,3,8,12,96.71,10056,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T08:43:18.514281
4,MNIST,tt_type1,3,16,8,98.02,30227,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T09:20:21.971279
5,MNIST,tt_standard,3,16,8,97.77,22160,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T10:02:03.638793
6,MNIST,tt_type1,4,8,8,97.8,25475,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T10:17:23.434695
7,MNIST,tt_standard,4,8,8,97.42,12848,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T10:25:56.522111
8,MNIST,tt_type1,4,8,12,97.74,29699,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T10:39:14.292084
9,MNIST,tt_standard,4,8,12,97.6,15704,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T10:51:09.497834
10,MNIST,tt_type1,4,16,8,98.17,65459,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T11:58:22.408625
11,MNIST,tt_standard,4,16,8,97.36,36048,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T12:57:35.419193
12,MNIST,tt_type1,3,8,8,97.64,12979,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-18T13:06:47.907814
13,MNIST,tt_standard,3,8,8,97.33,8560,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-18T13:12:02.664111
14,MNIST,tt_type1,3,8,12,97.61,14515,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-18T13:18:48.313900
